R,G,B
0.3814209402,0.6910149573,0.7151282051
0.3891025641,0.6940918803,0.7160790598
0.3974145299,0.6965918803,0.7168910256
0.4054487179,0.6987820513,0.7176816239
0.4147115385,0.7008012821,0.7184615385
0.4244017094,0.7023076923,0.7192735043
0.4348611111,0.7037606838,0.7202777778
0.4446047009,0.7052457265,0.7209615385
0.4534935897,0.7065811966,0.7219444444
0.4618803419,0.7078311966,0.7228525641
0.4703418803,0.7090491453,0.7236965812
0.4786324786,0.709957265,0.7246047009
0.4868269231,0.711292735,0.7255448718
0.4952777778,0.7122115385,0.7265384615
0.5027884615,0.7133012821,0.7276282051
0.5108226496,0.7142307692,0.7285042735
0.5195405983,0.7152136752,0.7298611111
0.5277029915,0.7161965812,0.731025641
0.5367200855,0.7171901709,0.7319764957
0.5461965812,0.7181623932,0.7332051282
0.5559508547,0.7193376068,0.7345405983
0.5661431624,0.7203418803,0.736207265
0.5764209402,0.7215811966,0.7375320513
0.5864316239,0.7231944444,0.7388782051
0.596517094,0.724465812,0.7397863248
0.6063995726,0.7258333333,0.7408440171
0.6164423077,0.7274786325,0.7420405983
0.6261752137,0.7291239316,0.7434401709
0.6356944444,0.7309294872,0.7449893162
0.6458119658,0.7322649573,0.746784188
0.6559294872,0.7337286325,0.7488675214
0.6663247863,0.7352777778,0.7508867521
0.6773183761,0.7368803419,0.7532264957
0.6880876068,0.7386965812,0.7558547009
0.6981730769,0.7409935897,0.7584935897
0.7075961538,0.7435576923,0.7610042735
0.7160683761,0.7460897436,0.7638141026
0.7231303419,0.7491666667,0.7666773504
0.730224359,0.7524465812,0.770715812
0.7363995726,0.7556623932,0.7748504274
0.7418910256,0.7588888889,0.779465812
0.7469551282,0.7629807692,0.7848717949
0.7516880342,0.7670619658,0.7913675214
0.7568696581,0.771784188,0.7980555556
0.7624893162,0.7772970085,0.8039636752
0.7689102564,0.7837286325,0.8096474359
0.7758333333,0.7907478632,0.8157692308
0.7840918803,0.7982478632,0.8227777778
0.7924145299,0.8047863248,0.8302777778
0.8007371795,0.8109081197,0.8390811966
0.8089316239,0.818792735,0.8496901709
0.819732906,0.8278952991,0.8630982906
